"Country","Region","Metric","Value"
"Afghanistan","South Asia","DeathsPer100k",521
"Afghanistan","South Asia","DeathsPer1000",42
"Afghanistan","South Asia","Years",54.4
"Albania","Europe","DeathsPer100k",7
"Albania","Europe","DeathsPer1000",10.8
"Albania","Europe","Years",79.9
"Algeria","Africa","DeathsPer100k",62
"Algeria","Africa","DeathsPer1000",18.6
"Algeria","Africa","Years",77.9
"American Samoa","Australia and Oceania","DeathsPer100k",NA
"American Samoa","Australia and Oceania","DeathsPer1000",9.5
"American Samoa","Australia and Oceania","Years",75.8
"Andorra","Europe","DeathsPer100k",11
"Andorra","Europe","DeathsPer1000",3.3
"Andorra","Europe","Years",83.8
"Angola","Africa","DeathsPer100k",183
"Angola","Africa","DeathsPer1000",46.1
"Angola","Africa","Years",62.9
"Anguilla","Central America and the Caribbean","DeathsPer100k",NA
"Anguilla","Central America and the Caribbean","DeathsPer1000",2.9
"Anguilla","Central America and the Caribbean","Years",82.6
"Antigua and Barbuda","Central America and the Caribbean","DeathsPer100k",35
"Antigua and Barbuda","Central America and the Caribbean","DeathsPer1000",13.3
"Antigua and Barbuda","Central America and the Caribbean","Years",78.3
"Argentina","South America","DeathsPer100k",33
"Argentina","South America","DeathsPer1000",7.4
"Argentina","South America","Years",78.8
"Armenia","Central Asia","DeathsPer100k",19
"Armenia","Central Asia","DeathsPer1000",11.3
"Armenia","Central Asia","Years",76.7
"Aruba","Central America and the Caribbean","DeathsPer100k",NA
"Aruba","Central America and the Caribbean","DeathsPer1000",11.2
"Aruba","Central America and the Caribbean","Years",78.5
"Australia","Australia and Oceania","DeathsPer100k",2
"Australia","Australia and Oceania","DeathsPer1000",3
"Australia","Australia and Oceania","Years",83.5
"Austria","Europe","DeathsPer100k",6
"Austria","Europe","DeathsPer1000",3.2
"Austria","Europe","Years",82.7
"Azerbaijan","Central Asia","DeathsPer100k",18
"Azerbaijan","Central Asia","DeathsPer1000",10.7
"Azerbaijan","Central Asia","Years",75.9
"Bahamas, The","Central America and the Caribbean","DeathsPer100k",76
"Bahamas, The","Central America and the Caribbean","DeathsPer1000",9.2
"Bahamas, The","Central America and the Caribbean","Years",76.7
"Bahrain","Middle East","DeathsPer100k",17
"Bahrain","Middle East","DeathsPer1000",9.6
"Bahrain","Middle East","Years",80.4
"Bangladesh","South Asia","DeathsPer100k",115
"Bangladesh","South Asia","DeathsPer1000",22
"Bangladesh","South Asia","Years",75.2
"Barbados","Central America and the Caribbean","DeathsPer100k",35
"Barbados","Central America and the Caribbean","DeathsPer1000",15.1
"Barbados","Central America and the Caribbean","Years",79
"Belarus","Europe","DeathsPer100k",1
"Belarus","Europe","DeathsPer1000",2.1
"Belarus","Europe","Years",74.7
"Belgium","Europe","DeathsPer100k",4
"Belgium","Europe","DeathsPer1000",3
"Belgium","Europe","Years",82.3
"Belize","Central America and the Caribbean","DeathsPer100k",67
"Belize","Central America and the Caribbean","DeathsPer1000",11.3
"Belize","Central America and the Caribbean","Years",74.3
"Benin","Africa","DeathsPer100k",518
"Benin","Africa","DeathsPer1000",51.6
"Benin","Africa","Years",63
"Bermuda","North America","DeathsPer100k",NA
